Name,Price,Stores,Rating,Votes,Type,Connection,Switches
A4Tech B3370R,34.49,0,4.0,1,Keyboard Only,USB,LK Optical Red / Blue
A4Tech B760,47.5,3,0.0,0,Keyboard Only,USB,LK Libra Orange
A4Tech Bloody & Sades Gaming set,156.07,0,1.0,2,Keyboard and Mouse Set,USB,LK Libra Brown
A4Tech Bloody B2278,29.9,2,4.2,5,Keyboard Only,USB,LK Optical Red / Blue
A4Tech Bloody B314,30.52,2,4.7,3,Keyboard Only,USB,LK Optical Red / Orange
A4Tech Bloody B820R,58.9,4,5.0,1,Keyboard Only,USB,LK Blue
A4Tech Bloody B860,59.9,5,5.0,1,Keyboard Only,Wireless,LK Blue
A4Tech Bloody B930 (LK Libra Brown),59.99,3,5.0,4,Keyboard Only,USB,LK Libra Brown
A4Tech Bloody B930 (LK Libra Orange),55.17,2,5.0,4,Keyboard Only,USB,LK Libra Orange
A4Tech Bloody B975 (LK Libra Brown),77.9,20,5.0,1,Keyboard Only,USB,LK Libra Brown
A4Tech Bloody B975 (LK Libra Orange),60.06,9,5.0,1,Keyboard Only,USB,LK Libra Orange
Acer Predator Aethon 500,169.0,0,0.0,0,Keyboard Only,USB,Kalih Blue
Adata XPG Summoner (Cherry MX Blue),93.69,0,5.0,1,Keyboard Only,USB,Cherry MX Blue
Adata XPG Summoner (Cherry MX Red),92.06,0,5.0,1,Keyboard Only,USB,Cherry MX Red
Armaggeddon MKA-17 ProGaming,79.4,12,4.0,3,Keyboard Only,USB / Wireless,Outemu Blue
Armaggeddon MKA-3C Psychfalcon,30.0,15,4.5,39,Keyboard Only,USB,Outemu Blue
Armaggeddon MKA-5R,35.0,5,4.8,5,Keyboard Only,USB,Outemu Blue
Armaggeddon MKA-7C Psychfalcon,64.5,4,3.8,4,Keyboard Only,USB,Outemu Blue
Armaggeddon MKA-9C Psychraptor (Kailh Brown),82.0,0,0.0,0,Keyboard Only,USB,Kailh Brown
Armaggeddon MKA-9C Psychraptor (Kaily Red),82.0,0,0.0,0,Keyboard Only,USB,Kailh Red
Armaggeddon MKO 13R Enterprise Black,63.0,12,5.0,1,Keyboard Only,USB,Outemu Blue
Armaggeddon MKO 13R Enterprise White,69.24,8,5.0,1,Keyboard Only,USB,Outemu Blue
Armaggeddon Psych Raven,37.8,14,3.0,1,Keyboard Only,USB,Outemu Blue
Armaggeddon RGB Raptor MKA-11R,46.6,11,4.9,7,Keyboard Only,USB,Outemu Blue
AS-808 E-SPORTS,50.0,2,0.0,0,Keyboard Only,USB,Outemu Red
Asus Cerberus Mech RGB,129.0,2,0.0,0,Keyboard Only,USB,Kalih Red
Asus ROG Claymore Core with Numpad,189.9,4,4.5,10,Keyboard Only,USB / Wireless,Cherry MX Brown
Asus Sagaris GK1100,96.6,4,5.0,2,Keyboard Only,USB,Cherry MX Red
Asus TUF Gaming K7,129.0,0,0.0,0,Keyboard Only,USB,TUF Lineal Switch
Aula F2058 (Black Switch),40.0,0,0.0,0,Keyboard Only,USB,Outemu Blue
Aula F2058 (Blue Switch),40.0,0,0.0,0,Keyboard Only,USB,Outemu Blue
Aula Mechanical Demon King,68.08,2,0.0,0,Keyboard Only,USB,KRGD Blue
Aula S2016 (Blue Switch) Silver,35.0,0,0.0,0,Keyboard Only,USB,Outemu Blue
Azio MGK1,99.0,0,0.0,0,Keyboard Only,USB,Kalih Blue
Azio Mk Mac Wired USB Backlit Mechanical Keyboard,149.0,0,3.0,1,Keyboard Only,USB,Kalih Brown
Azio Mk Retro,159.0,0,5.0,2,Keyboard Only,USB,Kalih Blue
Azio Retro Classic USB Artisan Black/Gold,289.0,0,0.0,0,Keyboard Only,USB,Kailh Blue
Azio Retro Classic USB Black,285.0,0,0.0,0,Keyboard Only,USB,AZIO Typelit Mechanical Switches
Azio Retro Classic USB Elwood,279.0,0,0.0,0,Keyboard Only,USB,AZIO Typelit Mechanical Switches
Azio Retro Classic USB White/Gold,285.0,0,0.0,0,Keyboard Only,USB,AZIO Typelit Mechanical Switches
Conceptum Black Dragon G901,64.9,4,4.9,41,Keyboard Only,USB,Outemu Blue
CoolerMaster CK350 (Outemu Blue),64.44,0,5.0,5,Keyboard Only,USB,Outemu Blue
CoolerMaster CK350 (Outemu Brown),56.49,3,5.0,5,Keyboard Only,USB,Outemu Brown
CoolerMaster CK350 (Outemu Red),67.22,3,5.0,5,Keyboard Only,USB,Outemu Red
CoolerMaster CK530 (Gateron Brown),85.54,3,5.0,3,Keyboard Only,USB,Gateron Brown
CoolerMaster CK530 (Gateron Red),79.79,4,5.0,3,Keyboard Only,USB,Gateron Red
CoolerMaster CK550 (Gateron Blue),90.37,0,4.5,23,Keyboard Only,USB,Gateron Blue
CoolerMaster CK550 (Gateron Brown),77.64,8,4.5,23,Keyboard Only,USB,Gateron Brown
CoolerMaster MasterKeys MK750,129.0,4,5.0,1,Keyboard Only,USB,Cherry MX Brown
CoolerMaster MasterKeys MK850,189.91,3,3.7,3,Keyboard Only,USB,Cherry MX Red
CoolerMaster MasterKeys Pro L RGB (Cherry MX Brown),159.8,1,4.4,5,Keyboard Only,USB,Cherry MX Brown
CoolerMaster MasterKeys Pro L RGB (Cherry MX Red),175.0,1,4.4,5,Keyboard Only,USB,Cherry MX Red
CoolerMaster MK730,123.0,7,5.0,6,Keyboard Only,USB,Cherry MX Brown
CoolerMaster SK621,218.36,0,5.0,2,Keyboard Only,USB,Cherry MX Red Low Profile
CoolerMaster SK630,124.91,4,0.0,0,Keyboard Only,USB,Cherry MX Red Low Profile
CoolerMaster SK650,144.89,4,5.0,1,Keyboard Only,USB,Cherry MX Red Low Profile
Corsair K63,99.99,2,5.0,3,Keyboard Only,USB,Cherry MX Red
Corsair K63 Wireless,169.0,2,5.0,4,Keyboard Only,USB / Wireless / Bluetooth,Cherry MX Red
Corsair K65 Lux RGB,187.0,0,5.0,7,Keyboard Only,USB,Cherry MX Red
Corsair K65 RGB Rapidfire,145.0,3,5.0,5,Keyboard Only,USB,Cherry MX Speed
Corsair K68,169.9,0,0.0,0,Keyboard Only,USB,Cherry MX Red
Corsair K68 RGB,109.9,25,4.4,18,Keyboard Only,USB,Cherry MX Red
Corsair K70 Lux (Cherry MX Brown),170.0,0,4.6,28,Keyboard Only,USB,Cherry MX Brown
Corsair K70 Lux (Cherry MX Red),175.0,0,4.6,28,Keyboard Only,USB,Cherry MX Red
Corsair K70 Lux RGB (Cherry MX Red),161.49,0,4.4,48,Keyboard Only,USB,Cherry MX Red
Corsair K70 RGB MK.2 (Cherry MX Brown),176.5,3,4.9,15,Keyboard Only,USB,Cherry MX Brown
Corsair K70 RGB MK.2 (Cherry MX Red),129.0,22,4.9,15,Keyboard Only,USB,Cherry MX Red
Corsair K70 RGB MK.2 Low Profile RAPIDFIRE (Cherry MX Speed),134.0,22,4.0,1,Keyboard Only,USB,Cherry MX Speed
Corsair K70 RGB MK.2 SE White (Cherry MX Speed),225.0,0,3.0,1,Keyboard Only,USB,Cherry MX Speed
Corsair K95 RGB Platinum Black (Cherry MX Brown),229.0,2,4.6,18,Keyboard Only,USB,Cherry MX Brown
Corsair K95 RGB Platinum Black (Cherry MX Speed),198.0,4,4.6,18,Keyboard Only,USB,Cherry MX Speed
Corsair K95 RGB Platinum Gunmetal (Cherry MX Brown),269.0,0,4.6,18,Keyboard Only,USB,Cherry MX Speed
Corsair K95 RGB Platinum XT,272.0,0,3.0,2,Keyboard Only,USB,Cherry MX Speed
Corsair Strafe RGB MK.2 Mechanical,159.0,3,4.0,2,Keyboard Only,USB,Cherry MX Silent Red
Cougar 700K,179.0,0,5.0,1,Keyboard Only,USB,Cherry MX Red
Cougar Attack X3 RGB,113.0,1,0.0,0,Keyboard Only,USB,Cherry MX Red
Cougar Puri TKL (Cherry MX White),80.9,1,5.0,1,Keyboard Only,USB,Cherry MX White
DAS Keyboard 4 Professional,166.8,0,5.0,1,Keyboard Only,USB,Cherry MX brown / Blue
DAS Keyboard 4 Professional for Mac,149.68,2,0.0,0,Keyboard Only,USB,Cherry MX brown
Das KeyBoard 4 Professional for Mac (Cherry MX Blue),149.68,2,0.0,0,Keyboard Only,USB,Cherry MX Blue
Das KeyBoard 4 Professional root,129.6,2,0.0,0,Keyboard Only,USB,Cherry MX brown / Blue
Das KeyBoard 4 Ultimate,153.39,3,0.0,0,Keyboard Only,USB,Cherry MX Brown
Das KeyBoard 4 Ultimate (Cherry MX Blue),165.0,3,5.0,1,Keyboard Only,USB,Cherry MX Blue
Das KeyBoard Wired Prime 13,142.85,2,0.0,0,Keyboard Only,USB,Cherry MX Brown
Das KeyBoard X50Q,138.78,0,0.0,0,Keyboard Only,USB,Gamma Zulu
Defender GK-170L,34.99,8,0.0,0,Keyboard Only,USB,Outemu Blue
Dell Alienware Advanced Gaming Keyboard AW568,65.0,2,4.0,2,Keyboard Only,USB,Kailh Blue
Dell Alienware AW510K Dark Side of the Moon,129.9,16,5.0,1,Keyboard Only,USB,Cherry MX Red Low Profile
Dell Alienware AW510K Lunar Light,134.37,14,0.0,0,Keyboard Only,USB,Cherry MX Red Low Profile
Dell Alienware Mechanical AW310K Dark side of the moon,79.0,19,5.0,1,Keyboard Only,USB,Cherry MX Red
Dell Alienware Pro Gaming Keyboard AW768,107.16,10,4.8,6,Keyboard Only,USB,Kailh Brown
Ducky One 2 Mini RGB (Cherry MX Silent Red),144.9,0,0.0,0,Keyboard Only,USB,Cherry MX Silent Red
Ducky One 2 RGB (Cherry MX Brown),159.9,2,0.0,0,Keyboard Only,USB,Cherry MX Brown
Ducky One 2 RGB TKL (Cherry MX Blue),169.9,0,0.0,0,Keyboard Only,USB,Cherry MX Blue
Ducky One 2 RGB TKL (Cherry MX Brown),169.0,2,0.0,0,Keyboard Only,USB,Cherry MX Brown
Ducky One 2 RGB TKL (Cherry MX Red),169.9,2,0.0,0,Keyboard Only,USB,Cherry MX Red
Ducky One 2 RGB TKL (Cherry MX Silver),169.9,0,0.0,0,Keyboard Only,USB,Cherry MX Silver
Ducky One 2 SF (Cherry MX Blue),149.9,0,0.0,0,Keyboard Only,USB,Cherry MX Blue
Ducky One 2 SF (Cherry MX Silent Red),149.9,0,0.0,0,Keyboard Only,USB,Cherry MX Silent Red
Esperanza Vortex,26.67,3,0.0,0,Keyboard Only,USB,Outemu Blue
FanTech MVP-861 Commander,68.2,0,0.0,0,Keyboard Only,USB,Outemu Blue
FanTech Pantheon MK871 Tournament Edition,64.0,2,5.0,2,Keyboard Only,USB,Kailh Blue
Gamdias Hermes E2,39.0,0,0.0,0,Keyboard Only,USB,Gamdias Blue
Gamdias Hermes P2,77.9,2,5.0,1,Keyboard Only,USB,Gamdias Optical Switch
Gamesir GK100,44.9,0,4.4,5,Keyboard Only,USB,TTC Blue
Gamesir VX AimSwitch,119.9,0,5.0,1,Keyboard Combo,Wireless / USB,TTC Blue
Gamesir VX2 AimSwitch (Custom Red),149.9,0,0.0,0,Keyboard Combo,Wireless / USB,TTC Blue
Geeklin Mechanical Gaming Keyboard,78.86,2,0.0,0,Keyboard Only,USB,Outemu Blue
Genesis Thor 200 RGB,33.21,9,4.0,7,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 (Outemu Blue),47.0,1,2.5,2,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 (Outemu Red),31.89,2,3.3,22,Keyboard Only,USB,Outemu Red
Genesis Thor 300 TKL (Outemu Blue),39.9,2,5.0,2,Keyboard Only,USB,Outemu Blue
Genesis Thor 300 TKL (Outemu Red),55.0,0,4.4,17,Keyboard Only,USB,Outemu Red
Genesis Thor 420 RGB (Custom Blue),52.23,1,0.0,0,Keyboard Only,USB,Kalih Blue
Gigabyte Force K81,49.9,0,0.0,0,Keyboard Only,USB,Kailh Red
Gigabyte Force K85,92.65,0,3.5,2,Keyboard Only,USB,Cherry MX Red
Glorious PC Gaming Race The GMMK TKL (Gateron Brown),129.99,0,0.0,0,Keyboard Only,USB,Gateron Brown
Havit HV-KB432L,55.0,6,0.0,0,Keyboard Only,USB,Outemu Blue
Havit HV-KB492L,45.0,6,0.0,0,Keyboard Only,USB,Outemu Blue
Havit KB435L,49.0,4,4.0,2,Keyboard Only,USB,Outemu Blue
Havit KB462L,65.0,5,0.0,0,Keyboard Only,USB,Outemu Blue
Havit KB473L,99.0,3,0.0,0,Keyboard Only,USB,Outemu Blue
HP Encoder (Cherry MX Brown),123.0,7,0.0,0,Keyboard Only,USB,Cherry MX Brown
HP Encoder (Cherry MX Red),123.0,8,0.0,0,Keyboard Only,USB,Cherry MX Red
HP Omen 1100,69.9,17,5.0,1,Keyboard Only,USB,Cherry MX Red
HyperX Alloy Elite RGB (Cherry MX Blue),124.84,2,5.0,4,Keyboard Only,USB,Cherry MX Blue
HyperX Alloy Elite RGB (Cherry MX Red),127.9,4,4.8,6,Keyboard Only,USB,Cherry MX Red
